"END_DATE","HEAT_ED_VISIT_COUNT","MAX_DAILY_TEMP"
2020-05-01,1,66
2020-05-02,1,72
2020-05-03,0,80
2020-05-04,1,71
2020-05-05,0,63
2020-05-06,0,52
2020-05-07,0,67
2020-05-08,0,58
2020-05-09,0,48
2020-05-10,0,65
2020-05-11,0,59
2020-05-12,0,59
2020-05-13,0,63
2020-05-14,1,65
2020-05-15,2,85
2020-05-16,2,76
2020-05-17,0,68
2020-05-18,2,66
2020-05-19,0,68
2020-05-20,0,64
2020-05-21,0,66
2020-05-22,0,76
2020-05-23,1,66
2020-05-24,1,68
2020-05-25,0,66
2020-05-26,0,76
2020-05-27,0,78
2020-05-28,0,76
2020-05-29,1,83
2020-05-30,1,83
2020-05-31,1,70
2020-06-01,0,40
2020-06-02,1,80
